Asset - Asset #,Asset - Asset Identification Number
18909,359032082649930.00
18910,359031087034213.00
18911,359032082623562.00
18912,359031086815240.00
18913,359031081831937.00
18914,359032082698523.00
18915,359031082308240.00
18916,359031081526982.00
18917,359032082512351.00
18918,359031086713627.00
18919,359031086356716.00
18920,359032083714394.00
18921,359031087112746.00
18922,359031087222933.00
18923,359032082666744.00
18924,359031086490911.00
18925,359031084123951.00
18926,359032082709890.00
18927,359031084733601.00
18928,359032082698358.00
18929,359032082690256.00
18930,359032082688367.00
18931,359032082406091.00
18932,359031087157477.00
18933,359032082629007.00
18934,359031087262814.00
18935,359032081830200.00
18936,359032081804577.00
18937,359031086316934.00
18938,359032081438202.00
18939,359031083038291.00
18940,359032081603318.00
18941,359031083937146.00
18942,359031084271149.00
18943,354023082015334.00
18944,359032082648114.00
18945,358330084647279.00
18946,359032082666892.00
18947,359031082476336.00
18948,359031087011898.00
18949,359031083279838.00
18950,359032082715459.00
18951,359031080872858.00
18952,359032082689548.00
18953,359032082700014.00
18954,359031085793869.00
18955,359032082701483.00
18956,359031086317395.00
18957,359032080614563.00
18958,359031081523856.00
18959,359032082370545.00
18960,359032081380750.00
18961,359031086273960.00
18962,359031085359794.00
18963,359032081248759.00
18964,359032082681180.00
18965,359031084262031.00
18966,359032082631771.00
18967,359031086796937.00
18968,359032081396848.00
18969,359031081912182.00
18970,359032082238940.00
18971,359032082695933.00
18972,359032082632258.00
18973,359031084319419.00
18974,359032081889826.00
18975,359032081692527.00
18976,359032082619701.00
18977,359031087052173.00
18978,359031085665521.00
18979,359032083544742.00
18980,359032082667981.00
18981,359032082628595.00
18982,359032082076407.00
18983,359031086507623.00
18984,359032082718586.00
18985,359032082646407.00
18986,359032082699554.00
18987,359032082704495.00
18988,359032083133843.00
18989,359031084983529.00
18990,359031082760002.00
18991,359032082712928.00
18992,359032082656968.00
18993,359032082628256.00
18994,359032080795602.00
18995,359031084094327.00
18996,359031083823601.00
18997,359032082508961.00
18998,359031084559253.00
18999,359031085309674.00
19000,359031084843301.00
19001,359032082250820.00
19002,359031087041069.00
19003,359032082713561.00
19004,359032082545690.00
19005,359032082622705.00
19006,359031085674689.00
19007,359032082727132.00
19008,359031084568544.00
19009,359031087132215.00
19010,359031084014192.00
19011,359031086709682.00
19012,359032082573585.00
19013,354023081490249.00
19014,359032082703174.00
19015,359032080795529.00
19016,359032083183798.00
19017,359031085336925.00
19018,359032083570770.00
19019,359031081953012.00
19020,359031086858166.00
19021,359032082632571.00
19022,359032082629056.00
19023,359031084327693.00
19024,359032082668666.00
19025,359031086709971.00
19026,359032082662552.00
19027,359032082704867.00
19028,359031084841529.00
19029,359032083189001.00
19030,359031084978842.00
19031,359032082711656.00
19032,359031086794056.00
19033,359032082702069.00
19034,359032082715715.00
19035,359031084867664.00
19036,359032082714957.00
19037,359031085658609.00
19038,359031080434758.00
19039,359032083695031.00
19040,359032083732271.00
19041,359032082699562.00
19042,359032082627068.00
19043,359031084759796.00
19044,359031085541052.00
19045,359031084444563.00
19046,359032082388752.00
19047,359031087185718.00
19048,359031083800963.00
19049,359032082651845.00
19050,359031086838119.00
19051,359032082631185.00
19052,359032082655671.00
19053,359031084273483.00
19054,359031086272236.00
19055,359031087011831.00
19056,359032082725474.00
19057,359031087158418.00
19058,359031083211088.00
19059,359031085360602.00
19060,359032082425448.00
19061,359032082719816.00
19062,359032082654575.00
19063,359032082775339.00
19064,359032082666868.00
19065,359032083696682.00
19066,359032082416769.00
19067,359031084317124.00
19068,359031086857689.00
19069,359032082709387.00
19070,359032082712993.00
